repo,fix_period,BIC_sha,BIC_time,BIC_files_count,BIC_file_changes,BFC_sha,BFC_time,BFC_files_count,BFC_file_changes,LOC
netdata/netdata,288,6bd0c6e3c3,2023-02-28T17:52:02Z,3,182,65c3de12690f78f8c28197e09332beea32fbf7dc,2023-12-14T12:30:13Z,1,9,23457516
redis/redis,130,496375f,2022-02-22T12:00:37Z,4,184,0b645d63193fb18a6646def558c37f6c7ee5d740,2022-07-03T10:35:58Z,1,6,7377716
redis/redis,3219,9d520a7f,2013-07-16T13:05:13Z,1,8,c2d8d4e648faa172a65a88fcffaf4ccc10a1ad78,2022-05-10T11:55:09Z,1,4,7377716
redis/redis,867,052e03495f,2019-03-14T16:06:59Z,1,18,b458b2999b749950c5ea9468cfa5ab74782848c3,2021-07-29T09:11:29Z,1,12,7377716
redis/redis,0,3d0b427c30610b45c00b2377ee28bb69974ccea2,2021-03-10T16:02:17Z,6,189,a4f03bd7eb44580b44f9499c53417df45e1edfb0,2021-03-11T11:50:13Z,1,6,7377716
redis/redis,15,1aad55b66,2021-01-26T07:31:54Z,9,307,29ac9aea5de2f395960834b262b3d94f9efedbd8,2021-02-10T16:38:10Z,1,4,7377716
redis/redis,54,d827dbf,2016-03-11T20:22:36Z,1,9,971e3c51b63e7a5ced6a953bdfd2d9bd53b25e52,2016-05-05T09:33:43Z,2,39,7377716
obsproject/obs-studio,1353,dc4e20500,2017-03-27T16:01:13Z,2,12,df4eb8219cfcd8b74a14e3caabd56bf0f648faea,2020-12-10T10:45:31Z,1,2,6837422
obsproject/obs-studio,4,8b632fa227e2df4865ad59af84af39b8c2ce8e49,2020-08-28T23:25:36Z,1,106,c13357ff91ede253346edd78d1047ffa8eefad00,2020-09-02T23:11:37Z,1,22,6837422
obsproject/obs-studio,0,d7848f3cb74,2015-11-15T17:43:39Z,1,9,14bfa071688cdf36a8efa8543b0e8e2902fabf2f,2015-11-16T16:22:55Z,1,8,6837422
mpv-player/mpv,332,e2284fba1,2024-01-10T23:43:12Z,4,54,4747865fefbc057e0c7998c361fe41ca2e9d9d4f,2024-12-08T23:39:44Z,1,23,6792546
mpv-player/mpv,122,8708f4dc91,2023-11-19T20:22:24Z,12,210,46a35e2edc1905a9cbe4674f454ef056a6d1eef4,2024-03-21T07:45:51Z,1,2,6792546
mpv-player/mpv,2868,a714f8e928,2016-03-05T11:45:54Z,1,2,0f2370476b4279040261878c601fb8015a8502d7,2024-01-11T13:54:25Z,1,7,6792546
mpv-player/mpv,28,1f8013ff3fddd788a517656e09f5ce5d7efd928d,2023-07-15T19:20:27Z,2,42,221a574a503604fbda6f25f171852d99e49de06b,2023-08-13T18:59:45Z,1,2,6792546
mpv-player/mpv,19,2e7fcc5a2,2023-07-01T07:03:11Z,1,2,2dc8e70093d9f80a01696f059ff02784bcb7b5f0,2023-07-20T17:31:30Z,1,15,6792546
mpv-player/mpv,327,d07b7f0,2019-12-16T01:32:17Z,4,59,873ae0de2af3bb84a11e5e57f6e3a8942b2263c2,2020-11-08T00:36:26Z,4,88,6792546
mpv-player/mpv,2,362015c,2016-05-14T05:05:04Z,8,275,8262a4dd5296f11338b2d54190982b1e07aa1267,2016-05-17T04:36:27Z,1,4,6792546
mpv-player/mpv,65,5b38a52,2013-04-26T00:13:30Z,11,505,2396e62c0be8be2bb39cd2a85021a5f391a0fe54,2013-06-30T17:32:47Z,1,3,6792546
facebook/zstd,17,bb68062c590dbd46905907dd2a63a658040a79d4,2016-10-18T23:08:52Z,5,32,dc904ad17bf608db483f6187bdbcd5ed43fea88d,2016-11-04T23:18:59Z,2,4,4568716
micropython/micropython,7,5e692d04,2024-08-27T06:11:32Z,5,21,a6c35aeee873953bd9016cf63feb1a6772bdd6af,2024-09-04T01:06:21Z,1,1,20769189
