repo,BIC_sha,bug_types
glfw/glfw,2c204ab52ecaa51bfd32b777aef715dae937f009,Null pointer dereference
fontforge/fontforge,36554a668c7cf3445a5e9eae0cffb675d20395e4,Memory leak
fontforge/fontforge,82322a4a4898aeb099b2a1f834bd111bf434ea3e,Memory leak
sparklemotion/nokogiri,2675a7527c,Memory leak
mozilla/mozjpeg,fc01f4673b71c0b833c59c21e8c4478a9c4bcf21,AddressSanitizer report
mozilla/mozjpeg,9120a247436e84c0b4eea828cb11e8f665fcde30,Null pointer dereference
mozilla/mozjpeg,2a9e3bd7430cfda1bc812d139e0609c6aca0b884,Integer overflow/wraparound
mozilla/mozjpeg,a09ba29a55b9a43d346421210d94370065eeaf53,Integer overflow/wraparound; AddressSanitizer report
libusb/libusb,05b0b55b,Memory leak
haproxy/haproxy,2462e5bcc,Memory leak
tianocore/edk2,684db6da64bc7b5faee4e1174e801c245f563b5c,Overflow
tianocore/edk2,d7a09cb86a0416c099fa3a9e0fbe2c8f399b28de,Integer overflow/wraparound
gluster/glusterfs,70e6ee2,Overflow
gluster/glusterfs,2ca6441,Memory leak
openvswitch/ovs,cf3b7538666cd1ef,Null pointer dereference
stephane/libmodbus,83c34102,Overflow
xemu-project/xemu,fb6d1bbd246c7a57ef53d3847ef225cd1349d602,Overflow
xemu-project/xemu,80376c3fc2c38fdd45354e4b0eb45031f35587ed,Overflow
gpac/gpac,94cf5b14,Overflow; AddressSanitizer report
gpac/gpac,7bb1b4a4,Double free
gpac/gpac,b8f8b202,Null pointer dereference
gpac/gpac,ebfa346e,Null pointer dereference
pgbackrest/pgbackrest,c5b5b58,Double free
DynamoRIO/dynamorio,99fd6ce,Memory leak
OpenSC/OpenSC,45ad44e,Null pointer dereference
saitoha/libsixel,0221665,Null pointer dereference
asterisk/asterisk,776a14386a55b5425c7e9617eff8af8b45427144,Memory leak
asterisk/asterisk,0b6410c4f8,Memory leak
TrungNguyen1909/qemu-t8030,fb6d1bbd246c7a57ef53d3847ef225cd1349d602,Overflow
TrungNguyen1909/qemu-t8030,80376c3fc2c38fdd45354e4b0eb45031f35587ed,Overflow
