name,stars,commits
torvalds/linux,189597,345534
Genymobile/scrcpy,119049,2683
netdata/netdata,73794,19799
redis/redis,68347,11826
ventoy/Ventoy,65456,1051
obsproject/obs-studio,62832,13962
git/git,53874,57187
FFmpeg/FFmpeg,48382,99017
php/php-src,38758,97140
wg/wrk,38573,80
curl/curl,37197,31766
tmux/tmux,36810,7423
bilibili/ijkplayer,32774,2463
lizongying/my-tv,31860,149
jqlang/jq,31366,1549
pbatard/rufus,30550,1993
coolsnowwolf/lede,30429,6650
mpv-player/mpv,29982,8418
nothings/stb,28154,1262
cfenollosa/os-tutorial,27962,129
openssl/openssl,26936,27275
ValdikSS/GoodbyeDPI,26436,228
ggreer/the_silver_searcher,26399,1339
valinet/ExplorerPatcher,26399,922
nginx/nginx,26279,8270
pjreddie/darknet,26067,423
kingToolbox/WindTerm,25426,102
raysan5/raylib,25404,6436
koekeishiya/yabai,25212,1616
libuv/libuv,24952,4632
facebook/zstd,24527,12050
robertdavidgraham/masscan,24197,662
taosdata/TDengine,23651,69605
arendst/Tasmota,22954,16887
hashcat/hashcat,22175,7063
openwrt/openwrt,21823,38879
SamyPesse/How-to-Make-a-Computer-Operating-System,21703,188
julycoding/The-Art-Of-Programming-By-July-2nd,21400,3191
radareorg/radare2,21326,30151
iovisor/bcc,21077,2630
micropython/micropython,20033,15266
gentilkiwi/mimikatz,19896,333
TheAlgorithms/C,19854,1107
jarun/nnn,19836,3846
Awesome-HarmonyOS/HarmonyOS,19510,49
valkey-io/valkey,19451,12364
allinurl/goaccess,19109,3806
jart/cosmopolitan,19072,2722
HandBrake/HandBrake,19004,11107
qmk/qmk_firmware,18861,19993
DarkFlippers/unleashed-firmware,18815,7142
lvgl/lvgl,18615,10632
timescale/timescaledb,18565,5059
karpathy/llama2.c,18167,342
ish-app/ish,17743,3811
postgres/postgres,17050,42590
woltapp/blurhash,16136,264
ExistentialAudio/BlackHole,15985,525
skywind3000/kcp,15851,62
NVIDIA/open-gpu-kernel-modules,15609,70
ffmpegwasm/ffmpeg.wasm,15283,590
reactos/reactos,15156,67615
swaywm/sway,15113,4572
videolan/vlc,15067,59307
UberGuidoZ/Flipper,14924,3136
espressif/esp-idf,14713,35780
sandboxie-plus/Sandboxie,14642,5154
pgvector/pgvector,14601,1689
sumatrapdfreader/sumatrapdf,14410,15635
tursodatabase/libsql,14021,4501
gojue/ecapture,13969,862
systemd/systemd,13888,71419
SpacehuhnTech/esp8266_deauther,13883,193
flipperdevices/flipperzero-firmware,13858,4049
davatorium/rofi,13813,3796
acidanthera/OpenCorePkg,13751,4829
memcached/memcached,13745,1868
vurtun/nuklear,13730,1399
arut/nginx-rtmp-module,13671,867
glfw/glfw,13574,4496
cloudwu/skynet,13557,1878
s-matyukevich/raspberry-pi-os,13385,338
ImageMagick/ImageMagick,13087,2756
peng-zhihui/Dummy-Robot,13020,1
alibaba/tengine,12928,1004
openresty/openresty,12909,1614
fastfetch-cli/fastfetch,12893,5308
haiwen/seafile,12833,1880
jonas/tig,12635,2578
jedisct1/libsodium,12571,4137
nicbarker/clay,12513,271
octalmage/robotjs,12488,485
twitter/twemproxy,12218,350
SoftEtherVPN/SoftEtherVPN,12094,1175
coturn/coturn,12016,1369
google/sanitizers,11830,2081
libsdl-org/SDL,11695,18122
zephyrproject-rtos/zephyr,11658,67162
EZLippi/Tinyhttpd,11597,16
OpenVPN/openvpn,11535,3252
winsiderss/systeminformer,11531,14170
brunodev85/winlator,11524,72
raspberrypi/linux,11497,321558
DoctorWkt/acwj,11496,89
FreeRDP/FreeRDP,11486,18437
cesanta/mongoose,11474,4095
openresty/lua-nginx-module,11447,3535
libevent/libevent,11394,4176
DaveGamble/cJSON,11255,917
citusdata/citus,11132,5072
openzfs/zfs,11081,7542
microsoft/mimalloc,11075,1890
libretro/RetroArch,11024,55828
h2o/h2o,11024,12040
openwall/john,11003,14970
qemu/qemu,10986,74493
Tencent/wcdb,10965,5191
RT-Thread/rt-thread,10893,13828
andlabs/libui,10775,3844
nmap/nmap,10768,3421
lz4/lz4,10715,2492
fogleman/Craft,10585,694
bol-van/zapret,10516,52
darktable-org/darktable,10501,40656
redcanaryco/atomic-red-team,10317,3211
leandromoreira/ffmpeg-libav-tutorial,10280,148
vanhauser-thc/thc-hydra,10168,734
krallin/tini,10166,186
huangzworks/redis-3.0-annotated,10133,3547
libvips/libvips,10127,7571
phpredis/phpredis,10064,2350
rswier/c4,10031,32
rofl0r/proxychains-ng,10004,344
rui314/chibicc,9989,316
Klipper3d/klipper,9988,5120
libgit2/libgit2,9884,12845
cstack/db_tutorial,9838,109
jemalloc/jemalloc,9836,2840
screetsec/TheFatRat,9793,513
i3/i3,9773,5302
Immediate-Mode-UI/Nuklear,9770,1734
Flipper-XFW/Xtreme-Firmware,9639,4365
Cyan4973/xxHash,9613,1354
Tencent/xLua,9559,875
eclipse-mosquitto/mosquitto,9497,2825
imbushuo/mac-precision-touchpad,9432,180
tporadowski/redis,9347,5078
yugabyte/yugabyte-db,9337,26332
betaflight/betaflight,9117,16190
happyfish100/fastdfs,9117,227
xmrig/xmrig,9112,2503
microsoft/react-native-code-push,9071,1226
torch/torch7,9027,819
bellard/quickjs,8926,93
AppImage/AppImageKit,8915,1361
lua/lua,8863,5683
Syllo/nvtop,8834,448
pymumu/smartdns,8804,893
irungentoo/toxcore,8746,2423
pocoproject/poco,8727,4702
jgamblin/Mirai-Source-Code,8692,4
erincatto/box2d,8653,246
Xfennec/progress,8641,129
VirusTotal/yara,8605,2823
squeaky-pl/japronto,8598,690
Wind4/vlmcsd,8554,27
nonstriater/Learn-Algorithms,8485,59
microsoft/WSL2-Linux-Kernel,8468,317951
peng-zhihui/ElectronBot,8427,19
mattn/go-sqlite3,8308,655
SecWiki/windows-kernel-exploits,8239,216
mit-pdos/xv6-public,8202,145
freebsd/freebsd-src,8162,152268
FelixKratz/SketchyBar,8051,1037
antirez/disque,8025,510
bingoogolapple/BGAQRCode-Android,7965,132
unicorn-engine/unicorn,7964,2397
floooh/sokol,7953,2986
n64decomp/sm64,7951,6
pygame/pygame,7877,5458
capstone-engine/capstone,7860,4141
miloyip/json-tutorial,7819,133
0xFA11/MultiplayerNetworkingResources,7774,286
nodemcu/nodemcu-firmware,7752,1776
wireshark/wireshark,7741,64941
AdAway/AdAway,7732,3900
mit-pdos/xv6-riscv,7723,383
ahrm/sioyek,7695,933
antirez/kilo,7652,16
bartobri/no-more-secrets,7590,240
skeeto/endlessh,7576,94
shellphish/how2heap,7572,333
