name,stars,commits
marcobambini/gravity,4361,620
sabrogden/Ditto,4355,565
RfidResearchGroup/proxmark3,4347,17930
ptitSeb/box64,4343,5996
yshui/picom,4341,2431
snesrev/zelda3,4340,327
martanne/vis,4329,2858
giltene/wrk2,4325,94
google/wuffs,4319,3849
attractivechaos/klib,4319,268
u-boot/u-boot,4310,55004
abishekvashok/cmatrix,4307,81
troydhanson/uthash,4296,302
firmianay/CTF-All-In-One,4274,420
zpoint/CPython-Internals,4241,377
microsoft/msquic,4233,3310
gali8/Tesseract-OCR-iOS,4225,189
Netflix/dynomite,4199,984
lc-soft/LCUI,4198,3561
plasma-umass/coz,4193,462
openvenues/libpostal,4192,5263
dvorka/hstr,4184,518
EpicGamesExt/raddebugger,4184,1827
gnea/grbl,4180,532
jdah/minecraft-weekend,4174,60
lotabout/write-a-C-interpreter,4169,86
iqiyi/xHook,4156,16
cloudius-systems/osv,4149,6445
F5OEO/rpitx,4147,261
3proxy/3proxy,4138,754
acassen/keepalived,4133,4703
isec-tugraz/meltdown,4130,58
microsoft/ProcMon-for-Linux,4125,34
tectonic-typesetting/tectonic,4108,3173
binbyu/Reader,4098,66
raspberrypi/pico-sdk,4079,1008
open-sdr/openwifi,4058,800
cmusphinx/pocketsphinx,4058,771
Bodmer/TFT_eSPI,4056,1046
tmk/tmk_keyboard,4044,1707
nanomsg/nng,3986,2333
canonical/dqlite,3985,1484
samyk/magspoof,3980,21
geohot/qira,3978,782
icholy/ttygif,3969,173
ntop/nDPI,3967,4324
portapack-mayhem/mayhem-firmware,3967,3285
Dav1dde/glad,3962,519
jakehilborn/displayplacer,3961,102
hengyoush/kyanos,3961,487
albfan/miraclecast,3960,219
nalgeon/sqlean,3942,315
F-Stack/f-stack,3939,746
tanersener/mobile-ffmpeg,3938,798
armink/EasyLogger,3930,133
huntergregal/mimipenguin,3916,108
Mzzopublic/C,3905,2
antirez/linenoise,3903,125
cnlohr/rawdrawandroid,3902,198
signalwire/freeswitch,3896,25082
ming1016/study,3890,186
kohler/gifsicle,3884,581
libjpeg-turbo/libjpeg-turbo,3883,2255
raysan5/raygui,3881,1195
opa334/Dopamine,3869,596
fw876/helloworld,3855,990
cilium/tetragon,3849,4593
google/AFL,3844,53
v4l2loopback/v4l2loopback,3835,782
openrazer/openrazer,3825,1541
mortdeus/legacy-cc,3818,11
google/security-research,3816,379
dankamongmen/notcurses,3808,8435
TheWover/donut,3802,451
varnishcache/varnish-cache,3793,18139
zserge/jsmn,3793,68
xroche/httrack,3790,958
riscv-collab/riscv-gnu-toolchain,3790,638
Chikage0o0/Linux-NetSpeed,3772,68
iqiyi/xCrash,3768,106
zsh-users/zsh,3767,3107
zhaojh329/rtty,3757,201
NixOS/patchelf,3755,646
fastos/fastsocket,3755,116
rxi/microui,3750,47
jorisvink/kore,3747,1933
contiki-os/contiki,3745,5096
philippe44/AirConnect,3741,625
janet-lang/janet,3741,3619
westes/flex,3735,924
OnionUI/Onion,3704,1304
dekuNukem/daytripper,3702,263
acidanthera/Lilu,3695,552
Gnucash/gnucash,3671,25669
openvswitch/ovs,3663,16232
apache/httpd,3656,19661
remzi-arpacidusseau/ostep-code,3649,63
stephane/libmodbus,3646,883
moby/hyperkit,3643,327
linw7/Skill-Tree,3637,98
OpenKinect/libfreenect,3635,597
AlexAltea/orbital,3634,271
zyantific/zydis,3630,1053
shadowsocks/ChinaDNS,3604,199
lakinduakash/linux-wifi-hotspot,3600,444
HarbourMasters/Shipwright,3597,2941
sandboxie/sandboxie,3592,2
DPDK/dpdk,3582,22844
a0rtega/pafish,3581,139
wishstudio/flinux,3576,817
hnes/libaco,3575,89
BasedHardware/OpenGlass,3568,49
babbleberry/rpi4-osdev,3566,7
FRRouting/frr,3566,32503
cpq/bare-metal-programming-guide,3552,217
Lienol/openwrt,3540,38610
ading2210/linuxpdf,3523,20
dekuNukem/Nintendo_Switch_Reverse_Engineering,3521,222
samyk/pwnat,3506,22
cboxdoerfer/fsearch,3502,2109
ptitSeb/box86,3498,4789
skeeto/w64devkit,3491,325
schwabe/ics-openvpn,3490,1908
unbit/uwsgi,3486,2928
openai/retro,3467,126
krakjoe/pthreads,3466,1211
answer-huang/dSYMTools,3466,40
mabeijianxi/small-video-record,3463,138
blackmagic-debug/blackmagic,3450,5607
rvaiya/keyd,3444,504
psycopg/psycopg2,3436,2729
webui-dev/webui,3435,1000
blinker-iot/blinker-esp-idf,3435,53
fragglet/c-algorithms,3426,328
jordansissel/xdotool,3424,591
jp9000/OBS,3413,2212
darkk/redsocks,3409,184
iNavFlight/inav,3405,15453
apache/age,3398,763
aubio/aubio,3398,3451
espressif/ESP8266_RTOS_SDK,3397,1024
vanhoefm/krackattacks-scripts,3392,879
blinker-iot/blinker-nRF52,3391,5
foobnix/LibreraReader,3385,4483
openbsd/src,3381,73492
neomutt/neomutt,3362,13384
wine-mirror/wine,3356,96327
NLnetLabs/unbound,3353,7361
premake/premake-core,3352,2085
cuber/ngx_http_google_filter_module,3343,59
emojicode/emojicode,3321,338
hanwckf/rt-n56u,3319,5337
gtworek/PSBits,3317,704
littlekernel/lk,3310,2404
libffi/libffi,3308,1280
RsyncProject/rsync,3305,1040
vozlt/nginx-module-vts,3296,196
blechschmidt/massdns,3289,263
fwupd/fwupd,3289,10530
surge-synthesizer/surge,3277,4997
yandex/odyssey,3269,2116
Proxmark/proxmark3,3269,1313
intel/haxm,3268,260
apache/guacamole-server,3266,3173
openssh/openssh-portable,3265,10533
ibireme/yyjson,3262,392
collectd/collectd,3249,9130
rfjakob/earlyoom,3244,536
jakogut/tinyvm,3241,189
mridgers/clink,3240,2100
hpjansson/chafa,3237,1420
containers/crun,3236,2518
curl/trurl,3226,365
quickjs-zh/QuickJS,3225,14
geany/geany,3221,10388
cilium/pwru,3216,516
orioledb/orioledb,3212,849
ireader/media-server,3210,1283
libopencm3/libopencm3,3203,2292
enjoy-digital/litex,3197,7740
Celtoys/Remotery,3193,838
StuckAtPrototype/Racer,3192,9
pgbouncer/pgbouncer,3188,1590
stellar/stellar-core,3188,9936
raspberrypi/pico-examples,3182,275
spdk/spdk,3177,13627
86Box/86Box,3172,12024
namhyung/uftrace,3171,4061
ohler55/oj,3168,1373
citusdata/pg_cron,3165,216
wechat-miniprogram/minigame-unity-webgl-transform,3158,560
google/honggfuzz,3152,3066
apache/nuttx,3145,41546
Stichting-MINIX-Research-Foundation/minix,3145,5291
libarchive/libarchive,3144,5539
rvaiya/warpd,3142,262
TASEmulators/desmume,3141,3592
HyperDbg/HyperDbg,3139,2351
yarrick/pingfs,3134,81
checkpoint-restore/criu,3133,10339
nmap/npcap,3132,2311
ivmai/bdwgc,3129,5092
begeekmyfriend/leetcode,3129,353
mintty/wsltty,3125,256
zmkfirmware/zmk,3124,2566
DhavalKapil/icmptunnel,3122,53
axel-download-accelerator/axel,3116,875
MiSTer-devel/Main_MiSTer,3114,1775
hexchat/hexchat,3113,1510
microsoft/ebpf-for-windows,3110,2700
NetHack/NetHack,3110,8745
EasyHook/EasyHook,3104,69
FreeRTOS/FreeRTOS-Kernel,3099,3823
jacksonliam/mjpg-streamer,3096,134
iqiyi/dpvs,3095,943
sysstat/sysstat,3094,1926
Simple-XX/SimpleKernel,3086,1274
google/eddystone,3085,179
SynoCommunity/spksrc,3078,3354
saki4510t/UVCCamera,3077,130
gozfree/gear-lib,3076,668
rubinius/rubinius,3072,16384
nihui/waifu2x-ncnn-vulkan,3066,130
xemu-project/xemu,3063,7601
json-c/json-c,3056,959
axboe/liburing,3053,2649
mtoyoda/sl,3052,12
weechat/weechat,3049,12968
slact/nchan,3035,3504
jhawthorn/fzy,3035,386
GuijiAI/HeyGem.ai,3029,27
sustrik/libmill,3029,971
atc1441/ATC_MiThermometer,3022,222
jonashaag/bjoern,3017,429
libAudioFlux/audioFlux,3016,123
unikraft/unikraft,3015,3248
