name,stars,commits
netdata/netdata,73794,19799
redis/redis,68347,11826
obsproject/obs-studio,62832,13962
tmux/tmux,36810,7423
coolsnowwolf/lede,30429,6650
mpv-player/mpv,29982,8418
nginx/nginx,26279,8270
raysan5/raylib,25404,6436
libuv/libuv,24952,4632
facebook/zstd,24527,12050
arendst/Tasmota,22954,16887
hashcat/hashcat,22175,7063
micropython/micropython,20033,15266
jarun/nnn,19836,3846
valkey-io/valkey,19451,12364
allinurl/goaccess,19109,3806
HandBrake/HandBrake,19004,11107
qmk/qmk_firmware,18861,19993
DarkFlippers/unleashed-firmware,18815,7142
lvgl/lvgl,18615,10632
timescale/timescaledb,18565,5059
ish-app/ish,17743,3811
swaywm/sway,15113,4572
sandboxie-plus/Sandboxie,14642,5154
sumatrapdfreader/sumatrapdf,14410,15635
tursodatabase/libsql,14021,4501
flipperdevices/flipperzero-firmware,13858,4049
davatorium/rofi,13813,3796
acidanthera/OpenCorePkg,13751,4829
glfw/glfw,13574,4496
fastfetch-cli/fastfetch,12893,5308
jedisct1/libsodium,12571,4137
libsdl-org/SDL,11695,18122
winsiderss/systeminformer,11531,14170
FreeRDP/FreeRDP,11486,18437
cesanta/mongoose,11474,4095
openresty/lua-nginx-module,11447,3535
libevent/libevent,11394,4176
citusdata/citus,11132,5072
raysan5/raylib,25404,6436
libuv/libuv,24952,4632
facebook/zstd,24527,12050
arendst/Tasmota,22954,16887
hashcat/hashcat,22175,7063
micropython/micropython,20033,15266
jarun/nnn,19836,3846
valkey-io/valkey,19451,12364
allinurl/goaccess,19109,3806
HandBrake/HandBrake,19004,11107
qmk/qmk_firmware,18861,19993
DarkFlippers/unleashed-firmware,18815,7142
lvgl/lvgl,18615,10632
timescale/timescaledb,18565,5059
ish-app/ish,17743,3811
swaywm/sway,15113,4572
sandboxie-plus/Sandboxie,14642,5154
sumatrapdfreader/sumatrapdf,14410,15635
tursodatabase/libsql,14021,4501
flipperdevices/flipperzero-firmware,13858,4049
davatorium/rofi,13813,3796
acidanthera/OpenCorePkg,13751,4829
glfw/glfw,13574,4496
fastfetch-cli/fastfetch,12893,5308
jedisct1/libsodium,12571,4137
libsdl-org/SDL,11695,18122
winsiderss/systeminformer,11531,14170
FreeRDP/FreeRDP,11486,18437
cesanta/mongoose,11474,4095
openresty/lua-nginx-module,11447,3535
libevent/libevent,11394,4176
citusdata/citus,11132,5072
Genymobile/scrcpy,119049,2683
ventoy/Ventoy,65456,1051
bilibili/ijkplayer,32774,2463
jqlang/jq,31366,1549
pbatard/rufus,30550,1993
nothings/stb,28154,1262
ggreer/the_silver_searcher,26399,1339
valinet/ExplorerPatcher,26399,922
koekeishiya/yabai,25212,1616
robertdavidgraham/masscan,24197,662
julycoding/The-Art-Of-Programming-By-July-2nd,21400,3191
iovisor/bcc,21077,2630
TheAlgorithms/C,19854,1107
jart/cosmopolitan,19072,2722
ExistentialAudio/BlackHole,15985,525
ffmpegwasm/ffmpeg.wasm,15283,590
UberGuidoZ/Flipper,14924,3136
pgvector/pgvector,14601,1689
gojue/ecapture,13969,862
memcached/memcached,13745,1868
vurtun/nuklear,13730,1399
arut/nginx-rtmp-module,13671,867
cloudwu/skynet,13557,1878
ImageMagick/ImageMagick,13087,2756
alibaba/tengine,12928,1004
openresty/openresty,12909,1614
haiwen/seafile,12833,1880
jonas/tig,12635,2578
SoftEtherVPN/SoftEtherVPN,12094,1175
coturn/coturn,12016,1369
google/sanitizers,11830,2081
OpenVPN/openvpn,11535,3252
DaveGamble/cJSON,11255,917
name,stars,commits
cashapp/zipline,2127,1367
hasherezade/hollows_hunter,2123,752
open-quantum-safe/liboqs,2121,1447
amadvance/snapraid,2118,1812
ZerBea/hcxtools,2112,2706
MarlinFirmware/Configurations,2110,1479
webmproject/libwebp,2101,3744
rsyslog/rsyslog,2098,14891
Snaipe/Criterion,2096,1430
HansKristian-Work/vkd3d-proton,2078,5514
FIX94/Nintendont,2063,534
TryQuiet/quiet,2058,4559
cyring/CoreFreq,2057,2457
raspberrypi/userland,2051,549
pr3y/Bruce,2049,1199
jbush001/NyuziProcessor,2048,4508
sahib/rmlint,2047,2766
davidmoreno/onion,2046,1038
limine-bootloader/limine,2044,2788
omnirom/android_bootable_recovery,2038,1628
chocolate-doom/chocolate-doom,2035,4659
eclipse-paho/paho.mqtt.c,2034,892
openzfs/zfs,11081,7542
microsoft/mimalloc,11075,1890
h2o/h2o,11024,12040
openwall/john,11003,14970
Tencent/wcdb,10965,5191
RT-Thread/rt-thread,10893,13828
andlabs/libui,10775,3844
nmap/nmap,10768,3421
lz4/lz4,10715,2492
fogleman/Craft,10585,694
redcanaryco/atomic-red-team,10317,3211
vanhauser-thc/thc-hydra,10168,734
huangzworks/redis-3.0-annotated,10133,3547
