repo,BFC_sha,BIC_sha
Lora-net/LoRaMac-node,a8a6ebd1df433f1e136a8601789d62b6975b1013,8402ca44a6b5781a9d0271f4406bffc2a7045508
ArtifexSoftware/mupdf,386c713b83f8788a80bb165431bf598b982385b3,0399332d54
jiangwenyuan/nuster,16598e5afcc9836310939ab36e77f54452dade3d,bccd6d5f233
jiangwenyuan/nuster,81a9b7230279199ddb72b015517f8b45ba64a82a,051ef368f696201195a4c77092449103dbf9458c
jiangwenyuan/nuster,06ecf3ab720a635772013feb2535c2fb2e84e6a1,b77c5c26
jiangwenyuan/nuster,ad90f0d1aa6a19560a4c6bfcf5a0c18674b70417,e16c1b3f
jiangwenyuan/nuster,f95bc8e3e0800dcf22194a43edce837d0baae772,e16c1b3f
jiangwenyuan/nuster,0766e441dd32b39ab884f5882e35e082a1da7a7e,cf2924bc2537bb08c
jiangwenyuan/nuster,3bb057170c2e1203119d3e06ed651f9da3574b00,5f5b7d2c1db1fabe3d372b0080a8773147762ee7
lattera/glibc,283d98512272a12cb84e7798c23edbdf1adb287d,9ff72da471a509a8c19791efe469f47fa6977410
lattera/glibc,5b7bd9756c8cee01903ac5dd36c965032e5c8477,5b4e5e78690c4938de312a8b176f4b14eb7bea4a
lattera/glibc,d4d0ecb24474928b9dfcce6c3f09694fab2400b6,18f2945ae9216cfc
luigirizzo/netmap,ffdfc14b984631cbc8cbc15c97f42cbc6b583427,968a6287512c701e1
luigirizzo/netmap,2b33e997d2b71d7c0c8c9fbe3cadd213f2e65a0b,cf9e6c7f0f7f57ad
luigirizzo/netmap,4efec97a69438b63b1d38a7d4b95afa58e330daf,cf9e6c7f0f7f57ad
luigirizzo/netmap,e7d670a9c727bec5802fbec3ac09a9e7bd727af8,af213b07
luigirizzo/netmap,920f5812a985ab7d122227cf6d47d978dd0db5ce,3eb34492b5
xiph/flac,775d214cddd7b77d18bb7ca419adec0e933eea68,b3b9176
openocd-org/openocd,7a80a74e8117332d6fd780f5c4697fe4bd3c41f7,3ef9beb52cd0
openocd-org/openocd,3560c8e06b221b4d3f23f4844b8f5cd254c605c2,537b06a81
cgsecurity/testdisk,15eded4506dae30c4e5249e77660765128a92d03,806a1f4bb565166392269d5c20254971d2d47775
EdgeTX/edgetx,0eba5c4c9c5a587992f43dcc2a528bc0b805aacd,ed07dd76efb5e794572e0ed5f1d8396681a69645
